,Judul,Penulis,Pembimbing I,Pembimbing II,Abstrak
431,"PENGARUH FAKTOR FUNDAMENTAL PERUSAHAAN TERHADAP 
HARGA SAHAM PERUSAHAAN CONSUMER GOODS YANG TERDAFTAR
DI BEI PERIODE 2015 dan 2016 
",Bagus Aris Sandria,"Trisita Novianti, S.TP, MT.","Samsul Amar, S.T.,M.Sc.","ABSTRAK
Pada pasar modal hal yang paing terpenting dalam cara peningkatan modal 
dalam skala investasi guna menunjang produktivitas sebuah perusahaan dan
memobilitasi perekonomian negara. Dalam sektor pasar modal peran investor
sebagai pemberi modal sangatlah penting guna menunjang keuntungan yang
jangka panjang sehingga peran pemilihan pasar dibutuhkan untuk melihat sektor
industri yang cocok untuk di investasikan. Sektor industri barang konsumsi atau
consumer goods merupakan sektor yang mempunyai peranan untuk kesejahteraan
masyarakat. Dimana sektor ini mampu memenuhi kebutuhan sehari – hari
masyarakat.  
Dalam penelitian ini peneliti mencoba untuk memilah perusahaan yang cocok
untuk menunjang investor dalam mengambil keputusan saat berinvestasi dan
faktor faktor mana saja yang berpengaruh dalam menjadi indikator dalam
pergerakan harga saham secara signifikan dan sebagai acuan untuk hal mengambil
keputusan dan mengetahui resiko yang akan dihadapi investor dan perusahaan di
masa yang akan datang. Dalam penelitian ini akan diambil sampel dari 24
perusahaan consumer goods yang terdaftar di Bursa Efek Indonesia tahun 2015
sampai 2016. Indikator yang diteliti adalah Current Ratio dan Price Earning Ratio
yang termasuk dalam faktor fundamental perusahaan. Dalam pengambilan
keputusan untuk mengetahui harga saham berserta faktor faktor yang
mempengaruhinya peneliti mencoba untuk menyelesaikannya menggunakan
metode regresi linear berganda. 

Kata kunci : pasar modal , investasi , regresi linier berganda.
"
432,MANAJEMEN RANTAI PASOK TEMBAKAU JENIS BOKABO KABUPATEN SUMENEP,Achmad Nabil,"Dr. Kukuh Winarso,S.Si.,M.T.","Sabarudin Akhmad, S.T.,M.T.","Tembakau adalah komoditas perkebunan yang sangat diminati oleh masyarakat di kabupaten sumenep, hal ini disebabkan terdapat 25.000 Ha lahan potensial di kabupaten sumenep untuk menanam komoditas tersebut. Namun saat ini jumlah petani tembakau dari tahun ke tahun mulai berkurang, hal ini disebabkan harga penjualan tembakau pada petani sangat rendah. Penyebab utama dari rendahnya harga jual petani adalah permainan harga yang dilakukan oleh Bandol (Tengkulak) dan Ranting (Tengkulak Besar) dalam proses pendistribusian tembakau dari petani ke gudang perusahaan.
Dalam perancangan Supply Chain Management Tembakau kabupaten Sumenep, hal pertama yang dilakukan adalah mapping dari setiap elemen yang ada pada rantai pasok. Mapping yang dilakukan adalah dengan memberi label posisi dari setiap elemen pada aplikasi Google Maps, sehingga dapat diketahui jarak antar elemen tersebut. Selanjutnya adalah menyederhanakan rantai pasok dengan mengelompokkan kelompok tani yang ada dengan menggunakan metode p-median menggunakan Matlab, sehingga didapatkan 12 pengelompokkan kelompok tani bedasarkan kedekatan jarak antar kelompok tani. Dari rantai pasok yang dihasilkan maka selanjutnya adalah mengatur jalur distibusi dari setiap elemen yan ada dengan menggunakan software Matlab. Hasil software Matlab tersebut didapatkan pengaturan jalur  distribusi dengan biaya operasional dan distribusi   total paling minimum untuk setiap kelompok   tani tembakau yang ada pada rantai pasok dengan total Rp. 8.003.547.924, sehingga keuntungan total petani menjadi meningkat sebanyak 16% dari keuntungan awal."
433,ANALISIS RISET PEMASARAN ALAS KAKI SISCO (SISMAN CORPORATION ) MENGGUNAKAN ANALISIS CLUSTER ,Diah Rukmana,"Dr. Rachmad Hidayat, S.T., S.H., M.T.","Mu’alim S.T, M.T.","Alas kaki khususnya sandal jepit merupakan salah satu bentuk dari alas kaki yang terbuka (pada bagian  jari  dan  kaki)  dengan  melakukan  riset  pasar.  Riset  pasar  merupakan  definisi  dari sistematis,  obyektif,  informasi  dan  keputusan.  Riset  pemasaran  yang  dimaksudkan  disini adalah riset pasar alas kaki khususnya ingin mengetahui dan menganalisis kondisi pasar sandal jepit sehingga sandal jepit produksi dari SISCO (Sisman Corporation) yang merupakan divisi kewirausahaan  Laboratorium  Sistem  Manufaktur  yang  merupakan  produsen  baru  di  dunia perindustrian alas kaki dapat bersaing dengan pasar industri alas kaki lain yang sudah berjalan atau berproduksi lebih dulu dengan menggunakan analisis pasar. Untuk mengetahui riset pasar serta segmentasi yang dituju oleh alas kaki SISCO menggunakan analisis cluster yaitu dengan metode  hirarki  dengan  terbentuknya  2  –  4  kelompok  dan  metode  non-hirarki  (k-means) sebanyak  3  kelompok  dengan  tafsiran  masing-masing  cluster  yang  terpilih  adalah  cluster  2. Berdasarkan  crosstabulations  daerah  yang  terpilih  adalah  daerah  (asal)  Bangkalan. Berdasarkan diagram pareto terdapat 10 daerah  yang  terpilih. Dari 10 daerah tersebut dicari permasalahannya  yaitu  dengan  menggunakan  metode  TRIZ  (Theory  of  Inventive  Problem Solving) yaitu metode pemecahan masalah berdasarkan logika dan data bukan intuisi. "
434,"PENERAPAN ANALISIS KONJOIN DALAM MENENTUKAN
PREFERENSI KONSUMEN TERHADAP BEBEK KAMPUS
(Studi Kasus : Divisi Kewirausahaan Bebek Kampus SISMAN)
",Mu'minatus Sofiyah,"Dr. Kukuh Winarso, S.Si., M.T.","Issa Dyah Utami, S.T., M.T., Ph.D.","Penelitian ini membahas tentang preferensi konsumen terhadap bebek kampus yang
diproduksi oleh laboratorium sistem manufaktur Universitas Trunojoyo Madura. Metode
yang digunakan dalam menentukan preferensi yaitu analisis konjoin. Ada 2 macam
variabel yang digunakan yaitu variabel dependen dan variabel independen. Variabel
independen meliputi kehalalan, rasa, higienitas, harga, kualitas, dan tingkat kematangan.
Sedangkan variabel dependen yang digunakan yaitu preferensi konsumen terhadap bebek
kampus SISMAN. Hasil yang didapatkan yaitu 2 kartu stimuli bebek yang disukai oleh
konsumen yaitu pada kartu stimuli 3 (kehalalan pada bahan yang digunakan, rasa pedas,
higienis dalam proses, kualitas bebek, harga Rp 75000, matang) dan kartu stimuli 8
(kehalalan pada proses pembuatan, rasa pedas, higienis dalam kemasan, kualitas bebek,
harga Rp 70000, matang). Setelah itu dilakukan analisis SWOT untuk mengetahui posisi
usaha terletak pada kuadran berapa serta mengetahui manajemen strategi yang akan
dilakukan untuk meningkatkan penjualan. Berdasarkan penelitian menggunakan analisis
SWOT maka diketahui posisi usaha berada pada kuadran II sehingga strategi yang harus
dilakukan yaitu menetapkan dan mempertahankan harga pasar yang bersaing dan
meningkatkan promosi.
Kata Kunci : Analisis Konjoin, SWOT, Bebek Kampus."
435,Manajemen Rantai Pasok Tembakau Hilir Kabupaten Pamekasan,Rahmat Darmawan,"Dr. Kukuh WInarso, S.Si., M.T.","Sabarudin Akhmad, S.T.,M.T.","Supply  chain  merupakan  jaringan  perusahaan-perusahaan  yang  secara  bersama-sama  bekerjademi  menciptakan  dan  menghantarkan  suatu  produk  ke  tangan  pemakai  terakhir.  peneliti  ingin melakukan peneliti sebagai Dinas Pertanian ingin membangun gudang dan meletakkan gudang yang optimal  untuk  mengurangi  biaya  distribusi  petani tembakau dengan  pendekatan supply  chain.  Dari hasil  di  dapatkan  bahwa berdasarkan  total  biaya  distribusi  minimum  keseluruhan  kelompok  tani terdapat  8  gudang  perwakilan  yang  harus  ada  untuk  menunjang  kelompok  tani  dalam  pengeluaran biaya distribusi. Gudang 1 terletak di kecamatan kadur desa bungbaruh, gudang 2 terletak di kecamatan tlanakan desa larangan tokol, gudang 3 terletak di kecamatan proppo desa proppo, gudang 4 terletak di kecamatan proppo desa rangperang laok, gudang 5 terletak di kecamatan pakong desa bandungan, gudang 6 terletak di kecamatan waru desa waru barat, gudang 7 terletak di kecamatan palengaan desa kacok dan gudang 8 terletak di kecamatan larangan desa peltong. Penentuan lokasi pembuatan gudang ini menggunakan p-median dengan fungsi tujuan meminimumkan biaya distribusi antar kelompok tani dengan biaya distribusi total seluruh kelompok tani di kabupaten pamekasan sebesar Rp. 322.069.711."
436,"RANCANG BANGUN MESIN HOT PRESS UNTUK RECYCLE PLASTIK
HDPE DAN KARAKTERISASASI PENGARUH TEMPERATUR 
PEMANASAN,  WAKTU PEMANASAN DAN TEMPERATUR
PEMBUKAAN TERHADAP CACAT DAN KONSUMSI ENERGI 
PENCETAKAN
 ",PUTHUT PRASETIYO,"MU'ALIM, S.T.,M.T","ANIS ARENDRA, S.T., M.eng"," 

Permasalahan sampah menjadi permasalahan yang belum juga mendapakan solusi
yang tepat. Terlebih sampah plastik yang membutuhkan waktu sangat lama untuk bisa
terurai. Kondisi di lingkungan masyarakat yang belum memiliki teknologi yang dapat
mengolah sampah menyebabkan lingkungan semakin tercemar dengan semakin banyaknya
sampah. Kondisi di pasaran mesin daur ulang plastik harganya mencapai ratusan juta.
Dalam penelitian ini kami menciptakan mesin Hot Press untuk daur ulang plastik HDPE.
Rancang bangun mesin hot press diperlukan untuk menciptakan sebuah mesin yang dapat
mendaur ulang limbah plastik HDPE dan memiliki keunggulan yaitu portable dan ringan.
Setelah melalui tahap perancangan dan pembuatan, maka proses selanjutnya yang diuji
adalah mengetahui karakteristik dari mesin baru yang telah dibuat. yaitu mesin Hot Press
untuk daur ulang plastik HDPE. Rancang bangun mesin hot press diperlukan untuk
menciptakan sebuah mesin yang dapat mendaur ulang limbah plastik HDPE dan memiliki
keunggulan yaitu portable dan ringan. Setelah melalui tahap perancangan dan pembuatan,
maka proses selanjutnya yang diuji adalah mengetahui karakteristik dari mesin baru yang 
telah dibuat. Pengujian dilakukan dengan analisis faktorial 2
3 
untuk mengetahui pengaruh
temperatur pemanasan, waktu pemanasan dan temperatur pembukaan terhadap cacat dan
konsumsi energi pencetakan.
"
437,Faktor-faktor Internal yang Mempengaruhi Produktivitas Pegawai PDAM di Kabupaten Pamekasan,Ganda Hikmawan Ahmadi,"Dr. Kukuh Winarso, S.Si., M.T.","Sabarudin Akhmad, S.T., M.T.","Penelitian ini bertujuan untuk mengetahui faktor-faktor internal yang berpengaruh terhadap produktivitas pegawai Perusahaan Daerah Air Minum Kabupaten Pamekasan. Faktor-faktor internal yang dimaksud di dalam penelitian ini adalah beberapa komponen yang berada di dalam lingkungan perusahaan dan berpengaruh secara langsung terhadap kinerja pegawai. Di dalam penelitian ini, peneliti menggunakan metode analisis faktor untuk menemukan solusi terhadap permasalahan. Analisis faktor merupakan analisis statistik yang mencoba menemukan hubungan (interrelationship) antar sejumlah variabel yang saling independen satu dengan yang lain, sehingga dapat dibuat satu atau beberapa kumpulan variabel yang lebih sedikit dari jumlah variabel awal. Kumpulan variabel itu disebut sebagai faktor dan faktor tersebut tetap mencerminkan variabel aslinya. Di dalam penelitian ini digunakan sejumlah variabel awal yang dipilih mengacu kepada suatu literatur mengenai faktor-faktor yang mempengaruhi kinerja pegawai. Sejumlah variabel tersebut diproses melalui tahapan yang berkaitan dengan analisis faktor sehingga akhirnya ditemukan sejumlah variabel yang berjumlah lebih sedikit dari variabel awal dan dapat mewakili keseluruhan variabel tersebut. Dalam penelitian ini, temuan hasil analisis faktor menunjukkan bahwa faktor-faktor yang berpengaruh terhadap produktivitas pegawai yaitu : upah yang baik, kesetiaan pemimpin pada diri sipekerja, dan etos kerja.
Kata kunci : faktor, variabel, produktivitas, analisis
"
438,"PENGARUH KOMPOSISI BAHAN, PERENDAMAN JAGUNG DAN LAMA MIXER PADA BROWNIES JAGUNG TERHADAP PENERIMAAN KONSUMEN",Muawwana,"D.r Rahmad Hidayat S.T., S.H., MT","Mu'alim S.T., M.T","Brownies merupakan cake lembut bewarna cokelat dengan tekstur padat. Pembuatan variasi brownies banyak diminati oleh masayarakat. Salah satu varian rasa yaitu brownies jagung. Dalam pembuatan ini dilakukan 27 perlakuan yaitu 3 faktor dan 3 level. Metode yang digunkan dalam penelitian ini yaitu rancangan acak lengkap. Dengan menggunakan pengujian analisys of variance. Hal ini dilakukan unntuk mengetahui ada atau tidaknya pengaruh signifikan faktor terhadap responyayg dihasilkan. Namun pengujian ini tidak bisa melihat perbedaan dalam level tiap faktor. Untuk itu dilakukan uji lannjut untuk mengetahui perlakuan mana ynag berbeda signifikan, yaitu dengan menngunakan comparation test dengan menngunakan tukey. Dengan menggunakan tukry maka dapat dilihat rata-rata respon yang diperoleh dari responden sehingga bisa didapatkan skor terbaik dari respon tersebut.

"
439,"ANALISIS  KELAYAKAN  PENGEMBANGAN  USAHA MENENGAH 
KRIPIK JAMUR
(StudyKasus CV.XYZ)",SYANDY FAIZAL,"Dr. Kukuh Winarso S.Si., MT.","Dr. Rachmad Hidayat, S.T., M.T","Jamur  merupakan  salah  satu  produk  pangan  alami  yang  banyak 
mengandung nilai gizi. Jamur telah menjadi sumber vitamin, mineral dan sumber 
serat  pangan  serta  antioksidan  yang  cukup  tinggi  untuk  manusia  sejak  dulu.
Keripik  jamur  adalah  salah  satu  produk  pangan  alternatif  makanan  kering. 
Pengolahan  produk  hortikultura  menjadi  keripik  jamur  diharapkan  mampu 
meningkatkan  nilai  tambah  dari  segi  ekonomi.  Peluang  pasar  makanan  kering 
cukup  terbuka  karena  semakin  meningkatnya  permintaan  akan  makanan  kering 
buah-buahan dan jamur-Jamur.
Dari  penelitian  dilakukan  analisis  kelayakan  investasi  dalam  mendirikan  usaha. 
Analisis dilakukan dengan tingkat suku bunga 14 %. Tingkat suku bunga 14 % 
merupakan  tingkat  suku  bunga  investasi  bersama  14  bank  saat  ini  kripik  jamur. 
Berdasarkan  perhitungan  kriteria-kriteria  investasi  tersebut  diperoleh  bahwa 
NPV  bernilai  positif  yaitu  Rp  16.651.646  dan  payback  periode  2,9  tahun  jadi 
kesimpulan bahwa usaha layak dilaksanakan..
Kata kunci: Jamur, Analisis Kelayakan Investasi, NPV, Payback Period"
440,Penyederhanaan Penggunaan Shift Kerja Pada Lini Produksi Flute Body dan Foot Dengan Konsep 3M Kaizen ,Dwi Andriyanto,"Mahrus Khoirul Umami S.T., M.Sc.,Ph.D","Sugeng Purwoko S.T., M.T","PT. Yamaha Musical Product Indonesia (YMPI) merupakan perusahaan yang bergerak dalam bidang produksi alat musik tiup. Produk yang dihasilkan meliputi recorder, pianica, saxophone, flute, dan clarinet. Penelitian ini fokus pada lini produksi flute body dan foot. Karena pada lini produksi tersebut 2 shift kerja. Berdasarkan kebijakan PT. YMPI waktu kerja shift 2 sebesar 7 jam 30 menit. Lebih cepat 30 menit dari shift 1 dengan total jam kerja sebesar 8 jam. Perbedaan waktu kerja tersebut mengakibatkan jumlah produksi shift 2 lebih sedikit daripada shift 1 dan pembagian beban kerja yang kurang merata untuk setiap tenaga kerja. Perbaikan untuk masalah tersebut dengan melakukan perancangan lini produksi baru, yaitu penyederhanaan penggunaan shift kerja. Untuk melakukan perancangan tersebut menggunakan konsep 3M kaizen. Muda, mura, dan muri. Konsep muda dengan melakukan analisis untuk setiap proses dengan FPC (Flow Process Chart) dan peta tangan kanan dan kiri. Sehingga didapatkan pengurangan waktu kerja untuk proses kiinuki sebesar 4,305 menit untuk setiap shift. Konsep mura dan muri dengan melakukan pengukuran waktu kerja untuk setiap proses dengan stopwatchtime sudy. Sehingga didapatkan penambahan untuk CNC sebanyak 2, mesin buffing 2, meja pengecekan 2, dan pencucian 2. Dengan penambahan mesin tersebut dapat dilakukan penyederhanaan shift kerja."
441,Analisis Pengukuran Kinerja Perusahaan Dengan Metode Performance Prism (Studi Kasus : PT. Aquamarine Divindo Inspection),Ayu Rahmawati,"Ida Lumintu, S.T., M.T., Ph.D.","Mahrus Khoirul Umami, S.T., Ph.D","Pengukuran kinerja adalah suatu proses penilaian tentang kemajuan pekerjaan terhadap tujuan dan sasaran dalam pengelolaan sumber daya manusia untuk menghasilkan barang atau jasa. Pada PT. Aquamarine Divindo Inspection belum memiliki suatu metode pengukuran kinerja yang tepat. Padahal metode pengukuran kinerja pada perusahaan pada umumnya semakin banyak dan semakin diperbaiki. Ruang lingkup performance prism meliputi interaksi antara stakeholder contribution dan stakeholder satisfaction yang kemudian diproyeksikan kedalam strategy, process dan capability. Hasil pembobotan AHP dari kriteria stakeholder yang paling berpengaruh dengan keseluruhan KPI adalah stakeholder pemilik. Jumlah keseluruhan KPI pada masing-masing stakeholder perusahaan adalah 42 KPI meliputi pemilik dengan 12 KPI, karyawan dengan 12 KPI, customer dengan 9 KPI dan supplier dengan 9 KPI. Hasil indeks dengan scoring system menggunakan metode OMAX dan Traffic Light System adalah 7,21 artinya hasil indeks pengukuran kinerja perusahaan sudah baik tapi perlu ditingkatan karena belum memenuhi target.  
 
Kata kunci : Pengukuran Kinerja, Performance Prism, Key Performance Indicator, Analytical Hierarchy Process, Objective Matrix, Traffic Light System."
442,Pengukuran Produktivitas Produk Herbisida 486 Di Departemen Produksi Menggunakan Metode Oregon Productivity Matrix (Studi Kasus: PT. XYZ),Dewi Kartika Sari,"Trisita Novianti, S.TP.,M.T.","Teguh Prasetyo, S.T.,M.T.","Penelitian ini dilakukan di PT. XYZ Yang terletak di Gresik, Jawa Timur. PT. XYZ 
merupakan sebuah perusahaan yang bergerak dalam produksi bahan kimia obat-obata 
pertanian.  Permasalahan di perusahaan adalah kurang terpenuhnya target produksi 
perusahaan, karena aktual produksi dengan target mengalami penurunan setiap periodenya. 
Hal itu menyebabkan rendahnya produktivitas di perusahaan tersebut. Sehingga diperlukan 
pengukuran produktivitas di  departemen produksi, pada penelitian ini menggunakan objek 
produk Herbisida 486. Metode yang digunakan untuk pengukuran produktivitas yaitu 
metode Oregon Productivity Matrix., karena metode ini memiliki kelebihan interpretasi 
hasil yang lebih mudah dipahami, fleksibel dan dapat diterapkan pada berbagai Industri 
Manufaktur.  Pengujian kriteria dengan uji korelasi dan pembobotan pada kriteria 
menggunakan AHP (Analitycal Hierarchy Process). Berdasarkan  hasil pengukuran 
produktivitas, diperoleh hasil productivitas actual masih berada jauh dibawah dari dengan 
goal  yang ingin dicapai perusahan. Kriteria yang akan diprioritasakan diperbaiki yaitu 
kriteria yang kumulatif presentase totalnya mencapai 80%. Terdapat 2 kriteria yang 
kumulatif presentase totalnya mencapai 80% yaitu kriteria rencana kebutuhan bahan baku 
sebesar 45,21%, kriteria penerimaan bahan baku sebesar 67,65%. 
 Kata kunci : Oregon Productivity Matrix, Produktivitas, AHP, Uji Korelasi 
 "
